,Company,Brand,Appliance,Energy Consumption,SKU
7280,Arçelik A.Ş. / Koç Holding,Leisure,Freezer,415,SKU-70175
7281,Candy Group,Zerowatt,Dish Washer,400W,SKU-39652
7282,Liebherr Group,Liebherr,Refrigerator,,SKU-71103
7283,Whirlpool Corporation,Estate,Refrigerator,425W,SKU-35816
7284,Candy Group,Rosières,Freezer,425W,SKU-62319
7285,AB Electrolux / Investor AB,Electrolux,Refrigerator,250W,SKU-85714
7286,Candy Group,Hoover,Toaster,0,SKU-36832
7287,The Meyer Corporatio,Hestan,Stove,0,SKU-70540
7288,AB Electrolux / Investor AB,Alpeninox,Stove,425W,SKU-28685
7289,AB Electrolux / Investor AB,Fensa,Freezer,475W,SKU-10497
7290,AB Electrolux / Investor AB,Tappan,Dish Washer,,SKU-15145
7291,Gorenj,Atag,Washer,,SKU-1220
7292,Gorenje,Etna,Dish Washer,300W,SKU-32138
7293,Candy Group,Iberna,Freezer,120W,SKU-56848
7294,BSH Hausgeräte GmbH / Robert Bosch GmbH,Pitsos,Washer,120W,SKU-15461
7295,BSH Hausgeräte GmbH / Robert Bosch GmbH,Balay,Freezer,415,SKU-99855
7296,Whirlpool Corporation,Acros,Toaster,425W,SKU-59569
7297,Gorenj,Atag,Refrigerator,425W,SKU-94172
7298,Whirlpool Corporation,Estate,Washer,0,SKU-24208
7299,Arçelik A.Ş. / Koç Holdin,Beko,Dryer,400W,SKU-61044
7300,Candy Group,Candy,Kettle,425W,SKU-57201
7301,BSH Hausgeräte GmbH / Robert Bosch GmbH,Coldex,Toaster,415,SKU-96633
7302,Whirlpool Corporation,Jenn-Air,Dish Washer,300W,SKU-39902
7303,Miele & Cie. KG,Miele,Dish Washer,,53939
7304,BSH Hausgeräte GmbH / Robert Bosch GmbH,Pitsos,Refrigerator,0,SKU-90370
7305,BSH Hausgeräte GmbH / Robert Bosch GmbH,Gaggenau,Freezer,0,SKU-36582
7306,AB Electrolux / Investor AB,Atlas,Washer,415,SKU-73127
7307,AB Electrolux / Investor AB,Mademsa,Refrigerator,,SKU-62435
7308,AB Electrolux / Investor AB,White-Westinghouse,Freezer,120W,SKU-29099
7309,Whirlpool Corporation,KitchenAid India,Dryer,415,SKU-41298
7310,Whirlpool Corporation,Consul,Kettle,,SKU-83461
7311,AB Electrolux / Investor AB,Lehel,Dryer,120W,SKU-9697
7312,BSH Hausgeräte GmbH / Robert Bosch GmbH,Viva,Kettle,0,SKU-52066
7313,Gorenje,Körting,Dryer,400W,SKU-33721
7314,AB Electrolux / Investor AB,Lehel,Washer,0,SKU-89733
7315,Currys / Dixons Carphone plc,Logik,Washer,425W,SKU-29669
7316,Gorenje,Sidex,Dish Washer,250W,SKU-79908
7317,Candy Group,Iberna,Toaster,,SKU-59014
7318,AB Electrolux / Investor AB,Zanker,Washer,,SKU-57810
7319,De’Longhi S.p.A,DeLonghi,Dish Washer,300W,SKU-20830
7320,"Sub-Zero Group, Inc",Wolf,Refrigerator,425W,SKU-83009
7321,AB Electrolux / Investor AB,Olympic Group,Stove,0,SKU-29808
7322,Whirlpool Corporation,Whirlpool,Washer,300W,SKU-94863
7323,Gorenje,Etna,Stove,,SKU-59566
7324,"Vestel Elektronik Sanayi Ve Ticaret AŞ, Zorlu Holding",Vestfrost,Dryer,0,SKU-32289
7325,AB Electrolux / Investor AB,Somela,Refrigerator,475W,SKU-86995
7326,Candy Group,Otsein Hoover,Refrigerator,,SKU-43007
7327,AB Electrolux / Investor AB,Castor,Dryer,,SKU-37908
7328,AB Electrolux / Investor AB,Philco,Washer,,SKU-18648
7329,AB Electrolux / Investor A,Frigidaire,Freezer,0,SKU-77752
7330,Candy Group,Rosières,Dryer,,SKU-15631
7331,GlenDimplex,Campo,Stove,500W,SKU-39887
7332,BSH Hausgeräte GmbH / Robert Bosch GmbH,Gaggenau,Dish Washer,,SKU-5840
7333,Whirlpool Corporation,Privileg,Dish Washer,475W,SKU-84275
7334,Gorenje,Körting,Freezer,120W,SKU-51714
7335,John Lewis Partnership,John Lewis,Washer,250W,SKU-99815
7336,AB Electrolux / Investor AB,White-Westinghouse,Toaster,,SKU-64726
7337,GlenDimplex,Campo,Washer,,SKU-70983
7338,AB Electrolux / Investor A,Chef,Stove,425W,SKU-2686
7339,GlenDimplex,Nobo,Toaster,250W,SKU-96791
7340,AB Electrolux / Investor AB,AEG,Washer,300W,SKU-70817
7341,AB Electrolux / Investor AB,Philco,Washer,400W,SKU-36414
7342,Fnac,ProLine,Dryer,415,SKU-75640
7343,AB Electrolux / Investor AB,Atlas,Toaster,300W,SKU-65764
7344,Bauknecht Hausgeräte GmbH / Whirlpool Corporation,Bauknecht,Freezer,,SKU-40473
7345,Arçelik A.Ş. / Koç Holding,Flavel,Refrigerator,400W,SKU-55105
7346,Mondragon Corporation,Mastercook,Freezer,0,SKU-19372
7347,Candy Group,Otsein Hoover,Kettle,,SKU--65188
7348,BSH Hausgeräte GmbH / Robert Bosch GmbH,ufesa,Dish Washer,400W,SKU-22808
7349,Whirlpool Corporatio,Ariston,Stove,425W,SKU-53116
7350,BSH Hausgeräte GmbH / Robert Bosch GmbH,Siemens,Refrigerator,,SKU-3455
7351,AB Electrolux / Investor AB,Gafa,Dish Washer,,SKU-21254
7352,AB Electrolux / Investor AB,King,Stove,,SKU-96948
7353,Gorenje,Mora,Dish Washer,415,SKU-26387
7354,AGA Rangemaster Group Ltd. The Middleby Corporation,AGA / Rangemaster,Dish Washer,0,SKU-65953
7355,Mondragon Corporation,Fagor,Stove,400W,SKU-22338
7356,"Indesit Company, Whirlpool Corporation",Stinol,Stove,475W,SKU-48848
7357,Whirlpool Corporation,Polar,Stove,,SKU-26496
7358,AB Electrolux / Investor AB,Electrolux ICON,Kettle,0,SKU-57998
7359,Whirlpool Corporation,Kenmore,Toaster,0,SKU-37814
7360,Gorenje,Pelgrim,Dish Washer,,SKU-3078
7361,De’Longhi S.p.A,DeLonghi,Freezer,425W,SKU-28737
7362,Arçelik A.Ş. / Koç Holding,Defy,Kettle,300W,SKU-20264
7363,BSH Hausgeräte GmbH / Robert Bosch GmbH,ufesa,Stove,500W,SKU-85430
7364,Gorenje,Gorenje,Stove,,SKU-53298
7365,Whirlpool Corporation,Polar,Freezer,,SKU-42465
7366,Asko Appliances AB / Gorenje,Asko,Refrigerator,120W,SKU-75896
7367,Whirlpool Corporation,KitchenAid,Toaster,,SKU-21303
7368,AB Electrolux / Investor AB,Fensa,Dish Washer,,SKU-23247
7369,Whirlpool Corporation,Inglis,Toaster,,SKU-91827
7370,BSH Hausgeräte GmbH / Robert Bosch GmbH,Bosch,Dryer,425W,SKU-29339
7371,Whirlpool Corporation,Roper,Dish Washer,325W,SKU-31889
7372,Whirlpool Corporation,Diqua,Freezer,,SKU-44103
7373,Candy Group,Jinling,Toaster,325W,SKU-13113
7374,Whirlpool Corporatio,Ariston,Stove,300W,SKU-79475
7375,Candy Group,Süsler,Kettle,,SKU-51259
7376,Mondragon Corporation,Fagor,Dryer,325W,SKU-78369
7377,BSH Hausgeräte GmbH / Robert Bosch GmbH,Constructa,Kettle,0,96510
7378,AB Electrolux / Investor AB,Atlas,Kettle,200,SKU-36310
7379,"Hotpoint, Whirlpool Corporation",Hotpoint,Dryer,425W,SKU-88635
7380,"Vestel Elektronik Sanayi Ve Ticaret AŞ, Zorlu Holding",Vestfrost,Dish Washer,0,SKU-10200
7381,Currys / Dixons Carphone plc,Logik,Stove,,SKU-9293
7382,AB Electrolux / Investor AB,Corberó,Dryer,0,SKU-55029
7383,Whirlpool Corporation,Maytag,Freezer,300W,SKU-71578
7384,Whirlpool Corporation,KitchenAid,Kettle,200,SKU-44504
7385,Whirlpool Corporation,Brastemp,Stove,500W,SKU-75795
7386,Candy Group,Candy,Washer,,SKU-4481
7387,AB Electrolux / Investor AB,Corberó,Washer,415,SKU--89249
7388,BSH Hausgeräte GmbH / Robert Bosch GmbH,Neff,Refrigerator,0,SKU-78822
7389,Whirlpool Corporation,Consul,Kettle,0,SKU-67048
7390,Arçelik A.Ş. / Koç Holding,Arctic,Freezer,325W,SKU-23668
7391,"Sub-Zero Group, Inc",Sub-Zero,Toaster,0,SKU-44576
7392,Liebherr Group,Liebherr,Washer,425W,SKU-89408
7393,Candy Group,Rosières,Dryer,300W,SKU-78750
7394,Whirlpool Corporation,Estate,Refrigerator,0,SKU-17621
7395,Verzinkerei Zug LtdV-ZUG Ltd,V-ZUG,Freezer,250W,SKU-67042
7396,AB Electrolux / Investor AB,Alpeninox,Refrigerator,,SKU-4849
7397,Bauknecht Hausgeräte GmbH / Whirlpool Corporation,Bauknecht,Toaster,,SKU-14898
7398,Whirlpool Corporation,Whirlpool,Kettle,,SKU-66553
7399,Amica Wronki S.A,Amica,Toaster,,SKU-88178
7400,AB Electrolux / Investor AB,Kelvinator,Dryer,0,SKU-79481
7401,"Indesit Company, Whirlpool Corporation",Stinol,Stove,,SKU-49000
7402,Samsung Group,Samsung,Dryer,0,SKU-91914
7403,Dayou Group,Daewoo,Stove,,SKU-80319
7404,Liebherr Group,Liebherr,Stove,0,SKU-54828
7405,De’Longhi S.p.A,DeLonghi,Kettle,0,SKU-61403
7406,The Meyer Corporatio,Hestan,Kettle,325W,SKU-55608
7407,Gorenje,Körting,Stove,325W,SKU-64524
7408,AB Electrolux / Investor AB,Philco,Toaster,400W,SKU-96009
7409,Hisense Kelon Electrical Holdings Ltd. / Hisense Group,Kelon (科龙),Stove,0,SKU-75005
7410,AB Electrolux / Investor AB,Westinghouse,Refrigerator,200,SKU-74765
7411,AB Electrolux / Investor AB,Gafa,Dish Washer,,SKU-21735
7412,Hisense Kelon Electrical Holdings Ltd. / Hisense Group,Kelon (科龙),Dryer,,SKU-1495
7413,Whirlpool Corporation,KitchenAid,Dish Washer,475W,SKU-85815
7414,BSH Hausgeräte GmbH / Robert Bosch GmbH,Siemens,Dish Washer,0,SKU-13009
7415,AB Electrolux / Investor AB,Elektro Helios,Kettle,120W,SKU-77066
7416,AB Electrolux / Investor AB,Zanker,Dish Washer,0,SKU-30582
7417,AB Electrolux / Investor AB,Gafa,Stove,425W,SKU-80040
7418,Montpellier Domestic Appliances Ltd,Montpellier,Toaster,,SKU-32510
7419,"Hotpoint, Whirlpool Corporation",Hotpoint,Stove,0,SKU-89298
7420,Arçelik A.Ş. / Koç Holdin,Beko,Kettle,,SKU-33124
7421,AB Electrolux / Investor AB,Dishlex,Toaster,,SKU-87376
7422,Candy Group,Otsein Hoover,Freezer,200,SKU-67784
7423,AB Electrolux / Investor AB,Kelvinator,Washer,500W,SKU-43677
7424,John Lewis Partnership,John Lewis,Kettle,300W,SKU-17397
7425,AM Kodinkoneet Oy / Gorenje Group Nordic A/S / Gorenje,UPO,Kettle,120W,SKU-41521
7426,Whirlpool Corporation,Polar,Dish Washer,0,SKU-4961
7427,Arçelik A.Ş. / Koç Holdin,Beko,Refrigerator,0,SKU-88142
7428,Whirlpool Corporatio,Ariston,Freezer,120W,SKU-38150
7429,Smeg Group S.p.A,Bertazzoni,Stove,,SKU--26953
7430,AB Electrolux / Investor AB,Prosdócimo,Toaster,,SKU-72176
7431,Whirlpool Corporation,Estate,Washer,0,SKU-79967
7432,Whirlpool Corporation,KitchenAid,Toaster,,SKU-61287
7433,Candy Group,Hoover,Dish Washer,475W,SKU-35242
7434,Gorenje,Mora,Freezer,,SKU-97804
7435,AB Electrolux / Investor AB,Anova,Toaster,,SKU-49726
7436,Mondragon Corporation,Mastercook,Toaster,0,SKU-41136
7437,"Indesit Company, Whirlpool Corporation",Scholtès,Dryer,,SKU-89614
7438,Arçelik A.Ş. / Koç Holding,Grundig,Refrigerator,200,SKU-52165
7439,AB Electrolux / Investor AB,Westinghouse,Dish Washer,475W,SKU-72369
7440,AGA Rangemaster Group Ltd. The Middleby Corporation,AGA / Rangemaster,Freezer,0,SKU-9923
7441,Candy Group,Süsler,Refrigerator,415,SKU-2201
7442,Asko Appliances AB / Gorenje,Asko,Stove,475W,SKU-48741
7443,GlenDimple,Belling,Kettle,,SKU-63835
7444,AB Electrolux / Investor AB,Zanussi,Stove,425W,SKU-42076
7445,Hisense Kelon Electrical Holdings Ltd. / Hisense Group,Kelon (科龙),Dryer,,SKU-26129
7446,Samsung Group,Samsung,Dish Washer,,SKU-91589
7447,The Middleby Corporation,La Cornue,Washer,300W,SKU-6046
7448,BSH Hausgeräte GmbH / Robert Bosch GmbH,ufesa,Stove,120W,SKU-92928
7449,AB Electrolux / Investor AB,Philco,Kettle,415,SKU-24851
7450,AB Electrolux / Investor AB,Castor,Stove,0,SKU-99796
7451,Arçelik A.Ş. / Koç Holding,Arctic,Kettle,425W,SKU-64688
7452,AB Electrolux / Investor A,Frigidaire,Kettle,0,SKU-42410
7453,De’Longhi S.p.A,DeLonghi,Stove,300W,SKU-37018
7454,Whirlpool Corporation,Polar,Dryer,500W,SKU-16268
7455,Arçelik A.Ş. / Koç Holding,Defy,Freezer,0,SKU-13381
7456,BSH Hausgeräte GmbH / Robert Bosch GmbH,Neff,Refrigerator,325W,SKU-53943
7457,AB Electrolux / Investor AB,Tappan,Refrigerator,120W,SKU-30676
7458,Smeg Group S.p.A,Smeg,Freezer,0,SKU-63752
7459,Arçelik A.Ş. / Koç Holding,Arctic,Toaster,250W,SKU-10063
7460,GlenDimplex,Technika,Dryer,120W,SKU-63219
7461,Meneghetti S.p.A,Fulgor Milano,Kettle,0,SKU-36388
7462,Whirlpool Corporation,KitchenAid,Dryer,0,SKU-56663
7463,BSH Hausgeräte GmbH / Robert Bosch GmbH,Pitsos,Dish Washer,475W,SKU-46104
7464,Whirlpool Corporation,Diqua,Kettle,400W,SKU-79413
7465,Whirlpool Corporation,Estate,Freezer,,SKU-70175
7466,BSH Hausgeräte GmbH / Robert Bosch GmbH,ufesa,Refrigerator,200,SKU-86870
7467,AB Electrolux / Investor AB,Gafa,Dryer,415,SKU-3221
7468,AB Electrolux / Investor AB,FAure,Dryer,,SKU-50979
7469,Asko Appliances AB / Gorenje,Asko,Dryer,0,SKU-18785
7470,BSH Hausgeräte GmbH / Robert Bosch GmbH,ufesa,Refrigerator,0,SKU-37627
7471,Fnac,ProLine,Freezer,,SKU-82174
7472,The Meyer Corporatio,Hestan,Refrigerator,,SKU-47801
7473,AB Electrolux / Investor AB,Dishlex,Freezer,300W,SKU-76477
7474,Whirlpool Corporation,Indesit Company,Washer,300W,SKU-88220
7475,"Sub-Zero Group, Inc",Wolf,Kettle,0,SKU-37861
7476,Fnac,ProLine,Washer,400W,SKU-52683
7477,Candy Group,Rosières,Kettle,,SKU-38960
7478,BSH Hausgeräte GmbH / Robert Bosch GmbH,Constructa,Dish Washer,,SKU-83465
7479,AB Electrolux / Investor AB,REX-Electrolux,Toaster,0,SKU-51214
7480,Arçelik A.Ş. / Koç Holding,Defy,Refrigerator,400W,SKU-96582
7481,AB Electrolux / Investor AB,Parkinson Cowan,Dryer,0,SKU-26713
7482,Arçelik A.Ş. / Koç Holding,Flavel,Refrigerator,325W,SKU-51087
7483,Mondragon Corporation,De Dietrich,Dish Washer,0,SKU-77869
7484,Whirlpool Corporation,Inglis,Washer,0,SKU--27738
7485,AB Electrolux / Investor AB,Fensa,Dryer,415,SKU-54969
7486,BSH Hausgeräte GmbH / Robert Bosch GmbH,Bosch,Kettle,0,SKU-6741
7487,AB Electrolux / Investor AB,Westinghouse,Stove,,SKU-73812
7488,Candy Group,Jinling,Washer,,SKU-69013
7489,Whirlpool Corporation,Diqua,Refrigerator,,SKU-17449
7490,Gorenje,Mora,Stove,0,SKU-74587
7491,AB Electrolux / Investor AB,Tricity Bendix,Toaster,120W,SKU-8309
7492,AB Electrolux / Investor AB,White-Westinghouse,Washer,,SKU-24089
7493,Viking Range Corporation / The Middleby Corporation,Viking,Freezer,,SKU-81936
7494,Whirlpool Corporation,Polar,Washer,,SKU-61099
7495,AB Electrolux / Investor AB,Somela,Freezer,0,SKU-32461
7496,AB Electrolux / Investor AB,Voss,Toaster,325W,SKU-26640
7497,Arçelik A.Ş. / Koç Holding,Defy,Stove,0,SKU-45603
7498,BSH Hausgeräte GmbH / Robert Bosch GmbH,Siemens,Kettle,0,SKU-35828
7499,AB Electrolux / Investor AB,Tricity Bendix,Freezer,0,SKU-79155
7500,Mondragon Corporation,Mastercook,Washer,200,SKU-75299
7501,BSH Hausgeräte GmbH / Robert Bosch GmbH,Viva,Dryer,475W,SKU-14113
7502,De’Longhi S.p.A,DeLonghi,Refrigerator,415,SKU-76167
7503,BSH Hausgeräte GmbH / Robert Bosch GmbH,Bosch,Freezer,0,SKU-82939
7504,GlenDimplex,Dimplex,Dryer,,SKU-46634
7505,AB Electrolux / Investor AB,Dishlex,Washer,0,SKU-43224
7506,"Sub-Zero Group, Inc",Wolf,Stove,,SKU-27911
7507,Whirlpool Corporation,Gladiator GarageWorks,Dryer,500W,SKU-18002
7508,AB Electrolux / Investor AB,Dishlex,Dish Washer,325W,SKU-62920
7509,BSH Hausgeräte GmbH / Robert Bosch GmbH,Zelmer,Stove,,SKU-8690
7510,The Meyer Corporatio,Hestan,Dryer,0,SKU-57417
7511,Whirlpool Corporation,Diqua,Toaster,0,SKU-6835
7512,Gorenje,Etna,Stove,120W,SKU-67901
7513,Arçelik A.Ş. / Koç Holding,Defy,Dish Washer,0,SKU-36082
7514,Whirlpool Corporation,Roper,Dryer,0,SKU-52733
7515,De’Longhi S.p.A,DeLonghi,Dryer,120W,SKU-51819
7516,AB Electrolux / Investor AB,Anova,Freezer,,SKU-65484
7517,Whirlpool Corporation,Consul,Dish Washer,250W,SKU-65610
7518,Arçelik A.Ş. / Koç Holdin,Arstil,Refrigerator,0,SKU-2342
7519,Meneghetti S.p.A,Fulgor Milano,Washer,500W,SKU-52104
7520,Whirlpool Corporation,Consul,Kettle,475W,SKU-89978
7521,De’Longhi S.p.A,DeLonghi,Dryer,325W,SKU-25611
7522,Whirlpool Corporation,Admiral,Dryer,,SKU-34814
7523,Candy Group,Baumatic,Dryer,425W,SKU-40272
7524,BSH Hausgeräte GmbH / Robert Bosch GmbH,Balay,Kettle,475W,SKU-66426
7525,BSH Hausgeräte GmbH / Robert Bosch GmbH,ufesa,Dish Washer,,SKU-80980
7526,GlenDimplex,Nobo,Dryer,300W,SKU-89890
7527,AB Electrolux / Investor AB,Parkinson Cowan,Stove,,SKU-44892
7528,Gorenje,Etna,Washer,415,SKU-83224
7529,AB Electrolux / Investor AB,Tricity Bendix,Freezer,0,SKU-97806
7530,Whirlpool Corporation,Privileg,Refrigerator,250W,SKU-60384
7531,The Middleby Corporation,Marvel,Dish Washer,415,SKU-50012
7532,Whirlpool Corporation,KitchenAid India,Dryer,475W,SKU-64565
7533,Arçelik A.Ş. / Koç Holding,Altus,Washer,,SKU-36677
7534,Whirlpool Corporation,Kenmore,Dryer,250W,SKU-29360
7535,AB Electrolux / Investor AB,Arthur Martin,Refrigerator,0,SKU-81183
7536,Arçelik A.Ş. / Koç Holdin,Beko,Dish Washer,120W,SKU-88170
7537,GlenDimplex,New World,Toaster,,SKU-50736
7538,Dayou Winia / Dayou Group,PRAUD,Refrigerator,415,SKU-39784
7539,De’Longhi S.p.A,DeLonghi,Kettle,,SKU-77002
7540,AB Electrolux / Investor AB,Gibson,Dryer,0,SKU-56368
7541,Candy Group,Baumatic,Dish Washer,475W,SKU-30719
7542,Candy Group,Vyatka,Kettle,415,SKU-95179
7543,Whirlpool Corporation,Consul,Dish Washer,0,SKU-74816
7544,Whirlpool Corporation,Indesit Company,Kettle,,SKU-81373
7545,Candy Group,Zerowatt,Dryer,200,SKU-20122
7546,BSH Hausgeräte GmbH / Robert Bosch GmbH,PROFiLO,Stove,250W,SKU-78631
7547,Whirlpool Corporation,Roper,Washer,250W,SKU-35770
7548,Dayou Winia / Dayou Group,PRAUD,Washer,325W,SKU-25692
7549,GlenDimplex,Technika,Refrigerator,400W,SKU-50331
7550,AB Electrolux / Investor AB,Electrolux,Stove,,SKU-42597
7551,AB Electrolux / Investor AB,Prosdócimo,Freezer,,SKU-13309
7552,Arçelik A.Ş. / Koç Holdin,Beko,Freezer,,SKU-94636
7553,AB Electrolux / Investor AB,White-Westinghouse,Washer,120W,SKU-86838
7554,AB Electrolux / Investor AB,Tricity Bendix,Dish Washer,,62894
7555,GlenDimplex,Nobo,Refrigerator,250W,SKU-14140
7556,GlenDimple,Belling,Freezer,,SKU-75150
7557,AB Electrolux / Investor AB,Dishlex,Dryer,0,SKU-56213
7558,Viking Range Corporation / The Middleby Corporation,Viking,Freezer,,74794
7559,GlenDimplex,Valor,Refrigerator,0,SKU-30138
7560,Gorenj,Atag,Washer,120W,SKU-1116
7561,GlenDimplex,Technika,Freezer,250W,SKU-24883
7562,Fnac,ProLine,Stove,325W,SKU-11466
7563,BSH Hausgeräte GmbH / Robert Bosch GmbH,Viva,Washer,0,SKU-12966
7564,Arçelik A.Ş. / Koç Holdin,Beko,Dish Washer,,SKU-94939
7565,Hisense Kelon Electrical Holdings Ltd. / Hisense Group,Kelon (科龙),Refrigerator,325W,SKU-7516
7566,Whirlpool Corporation,Brastemp,Dish Washer,,SKU-39155
7567,AB Electrolux / Investor AB,Dometic,Stove,,SKU-13920
7568,AB Electrolux / Investor AB,Somela,Washer,0,SKU-35174
7569,Gorenj,Atag,Toaster,475W,SKU-61548
7570,AB Electrolux / Investor AB,Simpson,Dish Washer,,SKU-2666
7571,Whirlpool Corporation,Brastemp,Dish Washer,120W,SKU-98945
7572,De’Longhi S.p.A,DeLonghi,Refrigerator,415,SKU-56454
7573,"Sub-Zero Group, Inc",Wolf,Kettle,475W,SKU-61213
7574,AB Electrolux / Investor AB,Parkinson Cowan,Washer,415,SKU-58424
7575,BSH Hausgeräte GmbH / Robert Bosch GmbH,Constructa,Kettle,120W,SKU-80415
7576,Samsung Group,Samsung,Dish Washer,,9851
7577,Amica Wronki S.A,Amica,Washer,,SKU-68690
7578,AB Electrolux / Investor AB,Lehel,Dish Washer,120W,SKU-53753
7579,Dayou Group,Daewoo,Freezer,,SKU-99133
7580,Montpellier Domestic Appliances Ltd,Montpellier,Dish Washer,,SKU-89623
7581,Whirlpool Corporation,Maytag,Stove,,SKU-50736
7582,AB Electrolux / Investor AB,Mademsa,Dryer,0,SKU-81775
7583,Candy Group,Otsein Hoover,Dish Washer,415,SKU-19130
7584,Whirlpool Corporation,Diqua,Stove,,SKU-16389
7585,BSH Hausgeräte GmbH / Robert Bosch GmbH,Zelmer,Freezer,325W,SKU-28319
7586,Verzinkerei Zug LtdV-ZUG Ltd,V-ZUG,Stove,0,SKU-93877
7587,Whirlpool Corporation,KitchenAid India,Kettle,,SKU-96019
7588,GlenDimplex,Nobo,Kettle,,SKU-60596
7589,Viking Range Corporation / The Middleby Corporation,Viking,Dish Washer,0,SKU-72649
7590,AB Electrolux / Investor A,Frigidaire,Stove,,SKU-4391
7591,Currys / Dixons Carphone plc,Logik,Kettle,400W,SKU-77873
7592,Whirlpool Corporation,KitchenAid,Refrigerator,,SKU-31369
7593,Samsung Group,Samsung,Stove,,SKU-92843
7594,Whirlpool Corporation,Polar,Washer,0,SKU-69973
7595,De’Longhi S.p.A,DeLonghi,Kettle,,SKU-66986
7596,AB Electrolux / Investor AB,Anova,Dish Washer,120W,SKU-81486
7597,AB Electrolux / Investor AB,REX-Electrolux,Dish Washer,,SKU-80960
7598,AB Electrolux / Investor AB,Kelvinator,Kettle,,SKU-22781
7599,AB Electrolux / Investor AB,Gibson,Refrigerator,325W,SKU-44295
7600,BSH Hausgeräte GmbH / Robert Bosch GmbH,Bosch,Freezer,300W,SKU-27889
7601,Mondragon Corporation,De Dietrich,Stove,500W,SKU-43077
7602,BSH Hausgeräte GmbH / Robert Bosch GmbH,Coldex,Toaster,120W,SKU-82821
7603,AB Electrolux / Investor AB,Westinghouse,Refrigerator,,SKU-53532
7604,"Indesit Company, Whirlpool Corporation",Termogamma,Washer,475W,SKU-15945
7605,Whirlpool Corporation,Polar,Toaster,475W,SKU-78559
7606,Smeg Group S.p.A,Smeg,Freezer,475W,SKU-23334
7607,Candy Group,Hoover,Freezer,500W,SKU-90099
7608,Whirlpool Corporation,Brastemp,Dryer,120W,SKU-5774
7609,Mondragon Corporation,Fagor,Dish Washer,,SKU-43515
7610,Whirlpool Corporation,Admiral,Stove,0,SKU-22501
7611,AB Electrolux / Investor AB,Parkinson Cowan,Stove,,SKU-50816
7612,The Middleby Corporation,La Cornue,Refrigerator,0,SKU-71560
7613,BSH Hausgeräte GmbH / Robert Bosch GmbH,Viva,Freezer,0,SKU-5262
7614,AGA Rangemaster Group Ltd. The Middleby Corporation,AGA / Rangemaster,Washer,325W,SKU-2926
7615,Thermador / BSH Hausgeräte GmbH / Robert Bosch GmbH,Thermador,Stove,250W,SKU-95911
7616,Whirlpool Corporation,Amana,Toaster,425W,SKU-58245
7617,Arçelik A.Ş. / Koç Holdin,Beko,Stove,0,SKU-88074
7618,AM Kodinkoneet Oy / Gorenje Group Nordic A/S / Gorenje,UPO,Refrigerator,250W,SKU-9004
7619,BSH Hausgeräte GmbH / Robert Bosch GmbH,Balay,Stove,0,SKU-17667
7620,Arçelik A.Ş. / Koç Holding,Arctic,Stove,0,SKU-9977
7621,GlenDimplex,Stoves,Dish Washer,300W,SKU-46005
7622,Home Retail Group plc / J Sainsbury plc,Bush,Kettle,,SKU-37367
7623,AB Electrolux / Investor A,Chef,Stove,425W,SKU-36993
7624,AB Electrolux / Investor AB,Castor,Stove,475W,SKU-19582
7625,Gorenje,Etna,Freezer,250W,SKU-84792
7626,Arçelik A.Ş. / Koç Holding,Arçelik,Stove,,SKU-69398
7627,John Lewis Partnership,John Lewis,Stove,475W,SKU-58018
7628,AB Electrolux / Investor AB,AEG,Kettle,250W,SKU-22718
7629,AGA Rangemaster Group Ltd. The Middleby Corporation,AGA / Rangemaster,Refrigerator,0,SKU-6387
7630,Gorenje,Körting,Toaster,,SKU-67032
7631,Arçelik A.Ş. / Koç Holdin,Beko,Toaster,0,SKU-43207
7632,BSH Hausgeräte GmbH / Robert Bosch GmbH,Siemens,Dryer,325W,SKU-69988
7633,Whirlpool Corporatio,Ariston,Stove,,SKU-94730
7634,Whirlpool Corporation,KitchenAid India,Kettle,,SKU66978
7635,Gorenj,Atag,Freezer,0,SKU-26326
7636,Candy Group,Candy,Stove,0,SKU-53902
7637,Whirlpool Corporation,Kenmore,Toaster,0,SKU-76967
7638,Mondragon Corporation,De Dietrich,Toaster,,SKU-71248
7639,Hisense Kelon Electrical Holdings Ltd. / Hisense Group,Kelon (科龙),Freezer,120W,SKU-54035
7640,Fhiaba S.r.l,Fhibia,Dish Washer,,SKU-30361
7641,GlenDimplex,Dimplex,Dryer,,52067
7642,AB Electrolux / Investor AB,Lehel,Washer,,SKU-92099
7643,Whirlpool Corporation,Estate,Washer,,SKU-57286
7644,Asko Appliances AB / Gorenje,Asko,Toaster,,SKU--55509
7645,"Hotpoint, Whirlpool Corporation",Hotpoint,Dryer,120W,SKU-89469
7646,Whirlpool Corporation,Roper,Toaster,200,SKU-29455
7647,AB Electrolux / Investor AB,Lehel,Dryer,325W,SKU-6214
7648,BSH Hausgeräte GmbH / Robert Bosch GmbH,Viva,Freezer,400W,SKU-77144
7649,IKEA,IKEA,Toaster,0,SKU-44640
7650,Home Retail Group plc / J Sainsbury plc,Bush,Kettle,200,SKU-73256
7651,AB Electrolux / Investor AB,Dometic,Kettle,,SKU-63030
7652,AB Electrolux / Investor AB,Tricity Bendix,Freezer,0,SKU-38323
7653,The Meyer Corporatio,Hestan,Toaster,,SKU-36471
7654,AB Electrolux / Investor AB,Somela,Freezer,425W,SKU-84700
7655,AB Electrolux / Investor A,Chef,Washer,415,SKU-84566
